variant,weights,split,frame_id,time,loss,return_rmse,return_accuracy,return_f1,intensity_rmse,intensity_medae,intensity_lpips,intensity_ssim,intensity_psnr,depth_rmse_m,depth_medae_m,depth_lpips,depth_ssim,depth_psnr,cd_m2,point_fscore
hybrid44_untied,ema,development,8130,0.20000000298023224,0.011733475141227245,0.2834523320198059,0.9367755222124154,0.9582783256969791,0.10560179501771927,0.028683513402938843,0.167830690741539,0.6402304870654377,19.526574243798574,3.3327760696411133,0.04906439781188965,0.1830005794763565,0.8168671322542073,27.605677134894485,0.08124181628227234,0.9049735069274902
hybrid44_untied,ema,development,8140,0.4000000059604645,0.008870980702340603,0.26962170004844666,0.9519858781994704,0.9679251587036418,0.09473028033971786,0.024247899651527405,0.13947924971580505,0.7216786115064049,20.470223689798495,2.810601234436035,0.03550839424133301,0.10271658003330231,0.8661385208579572,29.085815036873687,0.05739400535821915,0.9511037468910217
hybrid44_untied,ema,development,8150,0.6000000238418579,0.021549541503190994,0.3719843029975891,0.8178434833774639,0.8747889218075372,0.1526758223772049,0.04880022257566452,0.3437381386756897,0.2798503927754275,16.324594949244272,3.9644956588745117,0.12085962295532227,0.35141927003860474,0.5821675839791254,26.09804075209646,0.11721880733966827,0.8669776916503906
hybrid44_untied,ema,development,8160,0.800000011920929,0.014970889315009117,0.34947535395622253,0.8541629891144454,0.8929096094020048,0.1379069685935974,0.03251306712627411,0.32390332221984863,0.423622342370109,17.208275433719578,2.934760332107544,0.038814544677734375,0.3407852351665497,0.6802423938689027,28.71034715761556,0.06450926512479782,0.944930374622345
hybrid44_untied,raw,development,8130,0.20000000298023224,0.011631879024207592,0.28249886631965637,0.9380258899676376,0.9591101879980201,0.10497896373271942,0.028447549790143967,0.15918612480163574,0.645308762453016,19.57795462994767,3.3387937545776367,0.048926591873168945,0.17796942591667175,0.8193633044983855,27.590007823901722,0.09128601849079132,0.9046730399131775
hybrid44_untied,raw,development,8140,0.4000000059604645,0.008908122777938843,0.2690332233905792,0.9515739923506914,0.96765890558994,0.09538310766220093,0.024429284036159515,0.14121074974536896,0.7205570931227308,20.410570956826884,2.8155617713928223,0.03574085235595703,0.10393467545509338,0.8649326986221915,29.07049822456831,0.06303974986076355,0.9508598446846008
hybrid44_untied,raw,development,8150,0.6000000238418579,0.02140611782670021,0.3708879053592682,0.8192997940570756,0.8765104449403864,0.15238071978092194,0.04950585961341858,0.34077733755111694,0.28170095034540565,16.341399298048216,3.937650203704834,0.12029397487640381,0.35448503494262695,0.5861904014832618,26.157056892483634,0.11879314482212067,0.8686453700065613
hybrid44_untied,raw,development,8160,0.800000011920929,0.014924151822924614,0.3484056293964386,0.8553692262430127,0.8938710304181688,0.13797880709171295,0.03259509801864624,0.32393166422843933,0.4257902152453896,17.20375211257482,2.948380708694458,0.038964271545410156,0.33795246481895447,0.6828796480415936,28.670128751852108,0.06861008703708649,0.9438614845275879
hybrid44_untied,ema,train,8120,0.0,0.006897585932165384,0.26736363768577576,0.9573992350691379,0.9718441316014622,0.08362089097499847,0.023066505789756775,0.1314128339290619,0.7738057609376469,21.55370428942362,2.4967823028564453,0.019706010818481445,0.12193235754966736,0.8797550088294362,30.114186096555827,0.09394959360361099,0.975287139415741
hybrid44_untied,ema,train,8121,0.019999999552965164,0.00711173377931118,0.26823413372039795,0.9573109738158282,0.9717814080124465,0.08446231484413147,0.02318233996629715,0.12792089581489563,0.7649057579359635,21.466740201616368,2.5217697620391846,0.019770383834838867,0.11534814536571503,0.8805008183882573,30.02769088251212,0.06554136425256729,0.9710721373558044
