group,completed_scenes,metric,current_mean,paper,difference,relative_difference_percent
KITTI-360 Dynamic,6,CD,0.10126967333333332,0.0997,0.0015696733333333268,1.574396522902033
KITTI-360 Dynamic,6,F-score(repo),0.9316908766666666,0.9325,-0.0008091233333333836,-0.0867692582663146
KITTI-360 Dynamic,6,Depth RMSE,3.079252421666667,3.0794,-0.00014757833333334247,-0.00479243792080738
KITTI-360 Dynamic,6,Depth MedAE,0.02786648833333334,0.0277,0.00016648833333333946,0.6010409145607922
KITTI-360 Dynamic,6,Depth LPIPS,0.07012751166666666,0.0681,0.002027511666666662,2.977256485560444
KITTI-360 Dynamic,6,Depth SSIM,0.8762125433333333,0.8774,-0.001187456666666642,-0.13533812020362915
KITTI-360 Dynamic,6,Depth PSNR,28.702226225000004,28.6796,0.02262622500000333,0.07889309823011245
KITTI-360 Dynamic,6,Intensity RMSE,0.09938762833333332,0.0995,-0.00011237166666668019,-0.11293634840872381
KITTI-360 Dynamic,6,Intensity MedAE,0.026303163333333334,0.0262,0.00010316333333333302,0.3937531806615764
KITTI-360 Dynamic,6,Intensity LPIPS,0.14939613833333334,0.1479,0.0014961383333333411,1.0115877845391081
KITTI-360 Dynamic,6,Intensity SSIM,0.656745135,0.6563,0.0004451349999999854,0.06782492762455972
KITTI-360 Dynamic,6,Intensity PSNR,20.094542693333334,20.0825,0.012042693333334853,0.05996610647745476
KITTI-360 Dynamic,6,F-score@5cm(independent),0.5844037750433543,,,
nuScenes Dynamic,5,CD,0.235207004,0.2204,0.014807003999999985,6.718241379310337
nuScenes Dynamic,5,F-score(repo),0.905815348,0.907,-0.0011846520000000638,-0.13061212789416357
nuScenes Dynamic,5,Depth RMSE,6.613034583999999,6.5361,0.07693458399999908,1.1770717094291563
nuScenes Dynamic,5,Depth MedAE,0.019248670000000002,0.024,-0.004751329999999998,-19.797208333333323
nuScenes Dynamic,5,Depth LPIPS,0.055219182,0.0486,0.006619182000000001,13.619716049382719
nuScenes Dynamic,5,Depth SSIM,0.749342944,0.7741,-0.024757056,-3.1981728458855443
nuScenes Dynamic,5,Depth PSNR,21.89919926,22.0044,-0.10520074000000079,-0.47808956390540436
nuScenes Dynamic,5,Intensity RMSE,0.041552429999999994,0.0417,-0.00014757000000000658,-0.3538848920863467
nuScenes Dynamic,5,Intensity MedAE,0.006981416,0.0082,-0.0012185840000000009,-14.860780487804886
nuScenes Dynamic,5,Intensity LPIPS,0.04035018,0.0418,-0.0014498199999999975,-3.4684688995215254
nuScenes Dynamic,5,Intensity SSIM,0.7594961579999999,0.7566,0.002896157999999871,0.38278588421885684
nuScenes Dynamic,5,Intensity PSNR,28.033844088000002,27.9989,0.03494408800000315,0.12480521734783562
nuScenes Dynamic,5,F-score@5cm(independent),0.6788095671789202,,,
KITTI-360 Static,4,CD,0.08420412499999999,0.0831,0.0011041249999999975,1.328670276774967
KITTI-360 Static,4,F-score(repo),0.93228003,0.9332,-0.0009199699999999922,-0.09858229747106645
KITTI-360 Static,4,Depth RMSE,2.7465937025000002,2.7717,-0.02510629749999982,-0.905808619258932
KITTI-360 Static,4,Depth MedAE,0.035390912499999996,0.0353,9.091249999999829e-05,0.2575424929178422
KITTI-360 Static,4,Depth LPIPS,0.09982043,0.0985,0.0013204299999999974,1.3405380710659873
KITTI-360 Static,4,Depth SSIM,0.8478362949999999,0.848,-0.0001637050000000695,-0.019304834905668575
KITTI-360 Static,4,Depth PSNR,29.311950487500003,29.2388,0.0731504875000013,0.25018293329412045
KITTI-360 Static,4,Intensity RMSE,0.11205497,0.1121,-4.503000000000146e-05,-0.04016949152542503
KITTI-360 Static,4,Intensity MedAE,0.0335226225,0.0336,-7.737749999999627e-05,-0.23029017857141748
KITTI-360 Static,4,Intensity LPIPS,0.1823613175,0.1822,0.00016131750000000777,0.08853869374314367
KITTI-360 Static,4,Intensity SSIM,0.61109501,0.6116,-0.0005049900000000385,-0.08256867233486567
KITTI-360 Static,4,Intensity PSNR,19.029227067500003,19.0238,0.005427067500001215,0.028527778361847864
KITTI-360 Static,4,F-score@5cm(independent),0.512614076470025,,,
