variant,weights,split,frame_id,return_rmse,return_accuracy,return_f1,intensity_rmse,intensity_medae,intensity_lpips,intensity_ssim,intensity_psnr,depth_rmse_m,depth_medae_m,depth_lpips,depth_ssim,depth_psnr,cd_m2,point_fscore
hybrid44_untied,ema_field_refined_unet,development,8130,0.124267578125,0.9802883200941453,0.9868387451627477,0.08902699500322342,0.024973692372441292,0.11973553895950317,0.7358346626470755,21.00956582059377,2.8202435970306396,0.04035758972167969,0.04370320588350296,0.9221486988660484,29.056067286267723,0.08932322263717651,0.9059513807296753
hybrid44_untied,ema_field_refined_unet,development,8140,0.1400146484375,0.9754633715798764,0.9834733671528217,0.08655804395675659,0.022450774908065796,0.12722107768058777,0.7682637884846789,21.253851580948968,2.426734685897827,0.03202319145202637,0.043810199946165085,0.9228910460198032,30.361353648054227,0.05476345121860504,0.9524505734443665
hybrid44_untied,ema_field_refined_unet,development,8150,0.27880859375,0.9044424830832598,0.9328967212776068,0.1271108239889145,0.03657202422618866,0.19073551893234253,0.4996170244698998,17.91634885407135,3.264021873474121,0.08164429664611816,0.12074187397956848,0.7887801515913357,27.786738399722818,0.1200147271156311,0.866029679775238
hybrid44_untied,ema_field_refined_unet,development,8160,0.2005615234375,0.947852309502795,0.9602939035181057,0.09647081792354584,0.021092340350151062,0.14239010214805603,0.6766019942964967,20.312080677556,2.169579267501831,0.024468660354614258,0.08237948268651962,0.8976076990962156,31.334289328164427,0.06472882628440857,0.9477282166481018
hybrid44_untied,ema_field_refined_unet,train,8120,0.080810546875,0.9914386584289497,0.994273682553426,0.06285598874092102,0.020741865038871765,0.1011999249458313,0.8544797451178852,24.033066827995913,1.936409592628479,0.017205238342285156,0.0489412359893322,0.9609420180349957,32.32185514211416,0.09400792419910431,0.9758152365684509
hybrid44_untied,ema_field_refined_unet,train,8121,0.08154296875,0.990894380700206,0.9939123336709906,0.06537264585494995,0.020835157483816147,0.10305596888065338,0.8423953999570472,23.692078384965505,1.9291480779647827,0.01726222038269043,0.03431160748004913,0.9601193111875773,32.35448827673438,0.0650143027305603,0.9714396595954895
hybrid44_untied,ema_field_refined_unet,train,8122,0.079833984375,0.9915563401000295,0.9943509497096742,0.0645626038312912,0.020673632621765137,0.09062539786100388,0.8473560418273716,23.800379309102926,1.8544723987579346,0.017341136932373047,0.03540753200650215,0.9621728291123797,32.69739230991975,0.05554772913455963,0.9744605422019958
hybrid44_untied,ema_field_refined_unet,train,8123,0.0799560546875,0.9915416298911445,0.9943441695765504,0.06650625169277191,0.021002575755119324,0.10356974601745605,0.8371595130636251,23.542750214114648,1.8805721998214722,0.02079176902770996,0.03673599287867546,0.9601647324226794,32.57599931681796,0.057276420295238495,0.96648770570755
hybrid44_untied,ema_field_refined_unet,train,8124,0.08172607421875,0.9912474257134452,0.994146754153837,0.06483357399702072,0.019903331995010376,0.10361481457948685,0.8448107382452993,23.76400086752023,1.8767293691635132,0.017939090728759766,0.03472708910703659,0.9601769437901055,32.59376648799608,0.05596304312348366,0.9749048352241516
hybrid44_untied,ema_field_refined_unet,train,8125,0.0811767578125,0.9910709032068256,0.9940271778169187,0.0641934722661972,0.02009323239326477,0.11487974971532822,0.8456265178360733,23.85018297086184,1.8596456050872803,0.01825118064880371,0.039384208619594574,0.9633660188081374,32.67319600473625,0.05333445221185684,0.9744946956634521
hybrid44_untied,ema_field_refined_unet,train,8126,0.08056640625,0.9916151809355693,0.9943882172252196,0.0640241801738739,0.01931913197040558,0.10524683445692062,0.8496052338714435,23.873119909715832,1.7787691354751587,0.01642465591430664,0.0345538929104805,0.9641806566786121,33.05940810952937,0.04640715569257736,0.9755738973617554
hybrid44_untied,ema_field_refined_unet,train,8127,0.08197021484375,0.9912621359223301,0.9941463991485672,0.0628960058093071,0.019220292568206787,0.10244946926832199,0.8534850407379584,24.02753906169326,1.7996623516082764,0.016791820526123047,0.03138118237257004,0.9631221431638247,32.95797882905995,0.05382533371448517,0.9744168519973755
hybrid44_untied,ema_field_refined_unet,train,8128,0.077392578125,0.992174168873198,0.9947645009545928,0.0631965845823288,0.01940441131591797,0.10751040279865265,0.853360556818249,23.986127856818452,1.7996751070022583,0.017122983932495117,0.028498373925685883,0.9655588719018302,32.957917447139046,0.07834209501743317,0.9738814234733582
hybrid44_untied,ema_field_refined_unet,train,8129,0.07867431640625,0.9919093851132686,0.9945876795906318,0.06214224919676781,0.01916724443435669,0.10083096474409103,0.8550826867158093,24.132260555925633,1.6488245725631714,0.017035245895385742,0.028114473447203636,0.9648986974328788,33.71831075693171,0.04944542050361633,0.9753099083900452
hybrid44_untied,ema_field_refined_unet,train,8131,0.0765380859375,0.9922918505442777,0.9948465774980331,0.0648990124464035,0.01959066092967987,0.11457893252372742,0.8453939304270383,23.755238391830492,1.6922332048416138,0.017853975296020508,0.03127540647983551,0.9646655540751302,33.49259554564902,0.04976915568113327,0.9750784635543823
hybrid44_untied,ema_field_refined_unet,train,8132,0.0831298828125,0.9911885848779053,0.9941104173836095,0.06714901328086853,0.01937803626060486,0.1097358912229538,0.8439089534028177,23.459206962017735,1.9461218118667603,0.022201061248779297,0.028503797948360443,0.9598222362052146,32.2783991921678,0.050783365964889526,0.9686810374259949
hybrid44_untied,ema_field_refined_unet,train,8133,0.0821533203125,0.9909532215357458,0.993948696755911,0.06601876765489578,0.018980592489242554,0.10218111425638199,0.8475037675799191,23.60665199144202,1.99516761302948,0.020830869674682617,0.028422195464372635,0.9609920372463298,32.062211997258274,0.058271631598472595,0.9718259572982788
hybrid44_untied,ema_field_refined_unet,train,8134,0.07708740234375,0.9922182994998529,0.9947903843691834,0.0622231587767601,0.01876075565814972,0.09242075681686401,0.8590754618589017,24.12095869509351,1.5762301683425903,0.015722274780273438,0.02253054827451706,0.9698076831519605,34.10940693173516,0.047819554805755615,0.9803131222724915
hybrid44_untied,ema_field_refined_unet,train,8135,0.07940673828125,0.9915710503089143,0.9943487222983836,0.0620172880589962,0.018869712948799133,0.09437654912471771,0.8618602427540963,24.149744517660885,1.6170260906219482,0.015499114990234375,0.027310585603117943,0.9677753232007641,33.88745936746409,0.04444679617881775,0.9794065356254578
hybrid44_untied,ema_field_refined_unet,train,8136,0.07879638671875,0.9917475728155339,0.9944659820662306,0.06255419552326202,0.018365129828453064,0.1057794988155365,0.8614972029020465,24.074871294318456,1.6135739088058472,0.014865398406982422,0.024054095149040222,0.9689604967615727,33.90602246981595,0.03652714937925339,0.9809904098510742
hybrid44_untied,ema_field_refined_unet,train,8137,0.07708740234375,0.9920564872021183,0.9946712980323275,0.06147105246782303,0.018531352281570435,0.10480232536792755,0.8620409148896822,24.226587081959234,1.4698797464370728,0.015422821044921875,0.023510396480560303,0.9698322863306363,34.71616395846213,0.035562820732593536,0.9801449179649353
hybrid44_untied,ema_field_refined_unet,train,8138,0.08306884765625,0.9907178581935864,0.9937611848805133,0.06694501638412476,0.019207492470741272,0.10541348159313202,0.84311687010459,23.485634662254057,1.7918344736099243,0.020335674285888672,0.02955208346247673,0.9620079680243615,32.99584207916814,0.04759835824370384,0.9722228050231934
hybrid44_untied,ema_field_refined_unet,train,8139,0.0806884765625,0.9914092380111797,0.9942209115918221,0.06195300817489624,0.01833312213420868,0.10601029545068741,0.861422888577393,24.158751776512574,1.5711019039154053,0.015504837036132812,0.024950306862592697,0.968174245740253,34.137712735132595,0.04151129350066185,0.9810272455215454
hybrid44_untied,ema_field_refined_unet,train,8141,0.08294677734375,0.990894380700206,0.9938511359008235,0.06279397010803223,0.01851917803287506,0.10285387933254242,0.86201594296449,24.04164094742683,1.501422643661499,0.015335321426391602,0.030860180035233498,0.9662357983077982,34.53174073682421,0.03731821849942207,0.9840736985206604
