arm,step,subset,ray_count,gt_valid_count,gt_valid_sse,gt_valid_rmse,original_loss_total,original_loss_per_ray,final_masked_rmse,own_zero_gt_valid_rmse,tp_count,tp_sse,loss_tp,tp_rmse,fp_count,fp_sse,loss_fp,fp_rmse,fn_count,fn_sse,loss_fn,fn_rmse,tn_count,tn_sse,loss_tn,tn_rmse,delta_a_p50,delta_a_p95,delta_a_max,delta_a_nonzero_fraction,delta_I_p50,delta_I_p95,delta_I_max,delta_I_nonzero_fraction,delta_J_p50,delta_J_p95,delta_J_max,delta_J_nonzero_fraction,decoder_relative_cumulative_update,coefficient_relative_cumulative_update
T0,300,fit,2048,1835,10.697990417480469,0.07635422796010971,1.0697990655899048,0.0005223628249950707,0.0834391713142395,0.08945632725954056,1816,10.425216674804688,1.0425217151641846,0.07576779276132584,24,2.1214239597320557,0.0,0.2973090410232544,19,1.71173095703125,0.02727738581597805,0.3001517951488495,189,0.0,0.0,0.0,0.11834716796875,0.32275390625,1.1044921875,1.0,0.01171875,0.059814453125,0.221435546875,0.9418956964740581,0.021545782685279846,0.08246536478400229,0.22143182158470154,1.0,0.39480769634246826,0.0
T0,300,probe,2048,1185,7.766530513763428,0.08095698803663254,0.7766530513763428,0.00037922512274235487,0.06216872110962868,0.06850104033946991,1175,7.493038654327393,0.7493038773536682,0.07985645532608032,3,0.1063692718744278,0.0,0.188298761844635,10,0.316009521484375,0.027349213138222694,0.1777665615081787,860,0.0,0.0,0.0,0.0902099609375,0.264892578125,0.87646484375,1.0,0.005096435546875,0.0556640625,0.165283203125,0.8820428986160828,0.012501582503318787,0.061392672359943376,0.12971198558807373,1.0,0.39480769634246826,0.0
T1,0,fit,2048,1835,14.684465408325195,0.08945632725954056,1.4684466123580933,0.0007170149474404752,0.0942511335015297,0.08945632725954056,1816,14.380324363708496,1.4380325078964233,0.08898696303367615,24,2.100893497467041,0.0,0.2958669066429138,19,1.71173095703125,0.030414020642638206,0.3001517951488495,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,0,probe,2048,1185,5.560485363006592,0.06850104033946991,0.556048572063446,0.0002715080918278545,0.0526886060833931,0.06850104033946991,1175,5.276392936706543,0.5276393294334412,0.06701154261827469,3,0.09302769601345062,0.0,0.17609438300132751,10,0.316009521484375,0.02840927243232727,0.1777665615081787,860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,1,fit,2048,1835,14.690900802612305,0.08947592228651047,1.4690901041030884,0.0007173291523940861,0.09428200870752335,0.08945632725954056,1816,14.386380195617676,1.4386380910873413,0.08900570124387741,24,2.106760025024414,0.0,0.2962796986103058,19,1.71173095703125,0.030452115461230278,0.3001517951488495,189,0.0,0.0,0.0,0.0023479461669921875,0.004119873046875,0.006893157958984375,1.0,0.0003662109375,0.0009765625,0.001953125,0.7713768601689235,0.0004612058401107788,0.0008164674043655394,0.0012516379356384277,0.99755859375,0.0012314668856561184,0.0
T1,1,probe,2048,1185,5.575128555297852,0.0685911774635315,0.5575128793716431,0.0002722230856306851,0.05275458097457886,0.06850104033946991,1175,5.290396213531494,0.5290396213531494,0.0671004056930542,3,0.0932721495628357,0.0,0.17632560431957245,10,0.316009521484375,0.028473181650042534,0.1777665615081787,860,0.0,0.0,0.0,0.0026397705078125,0.00441741943359375,0.00601959228515625,1.0,0.000244140625,0.0009765625,0.00146484375,0.6957495983539559,0.0005759000778198242,0.000882512331008911,0.0011613965034484863,1.0,0.0012314668856561184,0.0
T1,10,fit,2048,1835,14.547429084777832,0.0890379399061203,1.4547429084777832,0.0007103236857801676,0.09378530085086823,0.08945632725954056,1816,14.24781322479248,1.424781322479248,0.08857602626085281,24,2.054014205932617,0.0,0.2925473153591156,19,1.71173095703125,0.029961640015244484,0.3001517951488495,189,0.0,0.0,0.0,0.0252532958984375,0.031768798828125,0.0406494140625,1.0,0.004150390625,0.007080078125,0.009765625,0.932564686955356,0.004375144839286804,0.006232757866382598,0.007681518793106079,0.99560546875,0.05902687460184097,0.0009923940524458885
T1,10,probe,2048,1185,5.510298252105713,0.06819120794534683,0.5510298609733582,0.00026905754930339754,0.052471406757831573,0.06850104033946991,1175,5.231689453125,0.5231689810752869,0.06672706454992294,3,0.09095355868339539,0.0,0.174120232462883,10,0.316009521484375,0.02786090411245823,0.1777665615081787,860,0.0,0.0,0.0,0.024871826171875,0.030548095703125,0.042083740234375,1.0,0.0032958984375,0.007080078125,0.009765625,0.8718396798105922,0.004899933934211731,0.006561954319477081,0.008381187915802002,0.99853515625,0.05902687460184097,0.0009923940524458885
T1,50,fit,2048,1835,13.276321411132812,0.08505911380052567,1.327632188796997,0.0006482579046860337,0.09087997674942017,0.08945632725954056,1816,13.00518798828125,1.3005188703536987,0.08462533354759216,24,2.1978631019592285,0.0,0.30261796712875366,19,1.71173095703125,0.0271135326474905,0.3001517951488495,189,0.0,0.0,0.0,0.045684814453125,0.1181640625,0.391845703125,1.0,0.005126953125,0.023681640625,0.09521484375,0.9256468695535595,0.009645327925682068,0.0331816866993904,0.09521323442459106,1.0,0.20198498666286469,0.0048776534385979176
T1,50,probe,2048,1185,6.068203926086426,0.0715600997209549,0.6068204045295715,0.00029629902564920485,0.05508310720324516,0.06850104033946991,1175,5.7986602783203125,0.5798660516738892,0.0702497661113739,3,0.09926718473434448,0.0,0.18190400302410126,10,0.316009521484375,0.026954391971230507,0.1777665615081787,860,0.0,0.0,0.0,0.0262603759765625,0.09375,0.33251953125,1.0,0.00146484375,0.0185546875,0.05908203125,0.849544801149976,0.004416175186634064,0.026736569404602045,0.05203652381896973,1.0,0.20198498666286469,0.0048776534385979176
T1,100,fit,2048,1835,12.134459495544434,0.08131902664899826,1.213446021080017,0.0005925029399804771,0.08786384761333466,0.08945632725954056,1816,11.864701271057129,1.1864701509475708,0.08082961291074753,24,2.2342426776885986,0.0,0.30511218309402466,19,1.71173095703125,0.0269758403301239,0.3001517951488495,189,0.0,0.0,0.0,0.091552734375,0.244384765625,0.72119140625,1.0,0.00955963134765625,0.04736328125,0.177490234375,0.9380614023327524,0.018933631479740143,0.0594199739396572,0.17748728394508362,1.0,0.29230761528015137,0.008177384734153748
T1,100,probe,2048,1185,6.958878993988037,0.0766320526599884,0.6958879232406616,0.0003397890250198543,0.05889259651303291,0.06850104033946991,1175,6.680146217346191,0.668014645576477,0.0754004716873169,3,0.1070002019405365,0.0,0.18885637819766998,10,0.316009521484375,0.02787327766418457,0.1777665615081787,860,0.0,0.0,0.0,0.06256103515625,0.19140625,0.56884765625,1.0,0.003662109375,0.040283203125,0.119140625,0.8733476140815694,0.009302124381065369,0.04685191512107848,0.10043859481811523,1.0,0.29230761528015137,0.008177384734153748
T1,300,fit,2048,1835,10.673532485961914,0.07626689225435257,1.0673532485961914,0.0005211685784161091,0.08338243514299393,0.08945632725954056,1816,10.397882461547852,1.0397882461547852,0.07566839456558228,24,2.1293749809265137,0.0,0.2978656589984894,19,1.71173095703125,0.027564991265535355,0.3001517951488495,189,0.0,0.0,0.0,0.12261962890625,0.325439453125,1.1181640625,1.0,0.011962890625,0.06064147949218768,0.223388671875,0.9424453680117978,0.021898753941059113,0.08233280479907984,0.22338494658470154,1.0,0.3912385106086731,0.013059865683317184
T1,300,probe,2048,1185,7.607420444488525,0.0801234319806099,0.7607420682907104,0.00037145608803257346,0.06153964623808861,0.06850104033946991,1175,7.3320136070251465,0.7332013845443726,0.07899374514818192,3,0.1080157533288002,0.0,0.18975049257278442,10,0.316009521484375,0.02754063718020916,0.1777665615081787,860,0.0,0.0,0.0,0.09014892578125,0.2626953125,0.873046875,1.0,0.00490570068359375,0.054443359375,0.16650390625,0.8825925195185884,0.011855453252792358,0.06002396047115324,0.12779951095581055,1.0,0.3912385106086731,0.013059865683317184
