variant,weights,split,frame_id,time,loss,return_rmse,return_accuracy,return_f1,intensity_rmse,intensity_medae,intensity_lpips,intensity_ssim,intensity_psnr,depth_rmse_m,depth_medae_m,depth_lpips,depth_ssim,depth_psnr,cd_m2,point_fscore
hybrid44,ema,development,8130,0.20000000298023224,0.009823750704526901,0.27272331714630127,0.9501323918799647,0.9668815943728019,0.09477757662534714,0.024659141898155212,0.1330125331878662,0.7038823415057638,20.465887675259292,3.153311014175415,0.039325714111328125,0.12286366522312164,0.853353686510098,28.08646379734372,0.07919855415821075,0.9269922375679016
hybrid44,ema,development,8140,0.4000000059604645,0.008298675529658794,0.27024564146995544,0.953927625772286,0.9691859664311997,0.09282871335744858,0.023537546396255493,0.1300508975982666,0.7353436939089442,20.646353313704324,2.646249294281006,0.028354406356811523,0.09550449997186661,0.8761245658169566,29.609184541746238,0.06033708527684212,0.9555172324180603
hybrid44,ema,development,8150,0.6000000238418579,0.020415320992469788,0.3679683208465576,0.8230361871138571,0.8791149161943808,0.14787454903125763,0.04726158827543259,0.3094028830528259,0.3079807084530477,16.602130972623783,3.8509786128997803,0.07921767234802246,0.3083246648311615,0.5952882687433061,26.35037763918718,0.10931495577096939,0.8928694725036621
hybrid44,ema,development,8160,0.800000011920929,0.01570253074169159,0.3531908392906189,0.8455428067078552,0.8863316517634833,0.14001289010047913,0.03251618146896362,0.32081788778305054,0.4111996573122452,17.076639451973747,3.097611665725708,0.036306142807006836,0.33927205204963684,0.6651370455132517,28.241260044403987,0.06338401883840561,0.9521901607513428
hybrid44,raw,development,8130,0.20000000298023224,0.009794563055038452,0.2720470428466797,0.9504854368932039,0.9670935575325056,0.09472161531448364,0.024573326110839844,0.1291242390871048,0.7068010009444141,20.471018381826983,3.1665661334991455,0.039206504821777344,0.12499573826789856,0.8546364245820167,28.050028272892632,0.08089275658130646,0.9266920685768127
hybrid44,raw,development,8140,0.4000000059604645,0.008270515128970146,0.26977160573005676,0.9540747278611357,0.969275282446955,0.09331967681646347,0.023650050163269043,0.12574216723442078,0.7352495087191232,20.600535633229285,2.631119728088379,0.028394699096679688,0.0987248495221138,0.8763635413255595,29.658987832355237,0.06064935028553009,0.9548377394676208
hybrid44,raw,development,8150,0.6000000238418579,0.020544618368148804,0.3683832287788391,0.8200941453368638,0.8771446940169566,0.1489795446395874,0.047851234674453735,0.30519968271255493,0.3036700068052755,16.537467054867946,3.8149938583374023,0.07903575897216797,0.3090174198150635,0.5934132960463709,26.43192313230903,0.10936911404132843,0.8939613699913025
hybrid44,raw,development,8160,0.800000011920929,0.015825720503926277,0.3528072237968445,0.8446307737569874,0.8854272883084199,0.14091865718364716,0.032725751399993896,0.31948333978652954,0.411085394134937,17.020629689128278,3.1305975914001465,0.036355018615722656,0.33547186851501465,0.6648642364866136,28.149254901627252,0.06830765306949615,0.9520399570465088
hybrid44,ema,train,8120,0.0,0.0067651402205228806,0.26589977741241455,0.9603854074727861,0.9737894788067547,0.08090969175100327,0.021947741508483887,0.12420349568128586,0.781900288523399,21.83998943226878,2.5002498626708984,0.019434452056884766,0.11392246186733246,0.8846295493031164,30.102131541316417,0.09488329291343689,0.9729730486869812
hybrid44,ema,train,8121,0.019999999552965164,0.007927622646093369,0.2709227502346039,0.9561488673139159,0.9710129425607017,0.08754045516252518,0.023454951122403145,0.13500452041625977,0.7462170938765277,21.15582363213853,2.7630929946899414,0.023595809936523438,0.12851305305957794,0.8715265973703665,29.23388984182987,0.06155454367399216,0.963586688041687
