variant,weights,split,frame_id,return_rmse,return_accuracy,return_f1,intensity_rmse,intensity_medae,intensity_lpips,intensity_ssim,intensity_psnr,depth_rmse_m,depth_medae_m,depth_lpips,depth_ssim,depth_psnr,cd_m2,point_fscore
hybrid44,ema_field_refined_unet,development,8130,0.1116943359375,0.9838481906443072,0.9892022657540713,0.0816173329949379,0.022532984614372253,0.11646531522274017,0.7706124804256275,21.76435202938655,2.5909042358398438,0.03397560119628906,0.042117103934288025,0.9329807565971332,29.792772205637284,0.07942850887775421,0.9278475642204285
hybrid44,ema_field_refined_unet,development,8140,0.1353759765625,0.9771550456016476,0.9846120309542918,0.08472906798124313,0.021925166249275208,0.12170582264661789,0.7771620171391885,21.43935176460772,2.281052827835083,0.025666236877441406,0.042469095438718796,0.9281568006727788,30.899092668043423,0.058107100427150726,0.9573278427124023
hybrid44,ema_field_refined_unet,development,8150,0.268798828125,0.9098264195351574,0.9369133871233328,0.11886828392744064,0.03438235819339752,0.16625097393989563,0.5393154304607928,18.498680279260896,3.12282657623291,0.05232524871826172,0.10224995017051697,0.806142323336104,28.170842492342434,0.1085648387670517,0.8943842649459839
hybrid44,ema_field_refined_unet,development,8160,0.1995849609375,0.9480141218005296,0.960420213242541,0.09566446393728256,0.02031669020652771,0.14189356565475464,0.685419414223587,20.384987132327304,2.1372077465057373,0.022341489791870117,0.08529810607433319,0.8956949734751372,31.46486490669122,0.06363244354724884,0.9570282101631165
hybrid44,ema_field_refined_unet,train,8120,0.08355712890625,0.9907325684024714,0.9938027503983946,0.06331085413694382,0.01997193694114685,0.09879229962825775,0.8534254051323539,23.970437018831795,1.9990137815475464,0.017173290252685547,0.041900016367435455,0.9580338993408304,32.0454837367238,0.09372720122337341,0.9733909368515015
hybrid44,ema_field_refined_unet,train,8121,0.0841064453125,0.9903942335981171,0.9935787123990836,0.068588986992836,0.021091774106025696,0.1069454550743103,0.8303837067323419,23.274912481178454,2.0246872901916504,0.02046346664428711,0.03951115161180496,0.9542333771941078,31.934640675642314,0.07185357064008713,0.9639981985092163
hybrid44,ema_field_refined_unet,train,8122,0.08154296875,0.9911885848779053,0.9941072886641548,0.0661756843328476,0.020170241594314575,0.10694621503353119,0.8414341981641958,23.58603113702467,2.011599063873291,0.019678115844726562,0.03658873215317726,0.95750752917736,31.99097080654502,0.05453357473015785,0.9689121246337891
hybrid44,ema_field_refined_unet,train,8123,0.08184814453125,0.9912180052956752,0.9941282346345638,0.06749244034290314,0.020309418439865112,0.11342742294073105,0.8339691228162565,23.414897760293954,2.097987413406372,0.025745868682861328,0.04219462722539902,0.9552643545972065,31.625742583813008,0.07543018460273743,0.9446966648101807
hybrid44,ema_field_refined_unet,train,8124,0.0830078125,0.9906884377758164,0.9937734234367162,0.06630431115627289,0.019847989082336426,0.1060815155506134,0.8394198931075114,23.56916422063355,2.009580135345459,0.018358707427978516,0.03901047259569168,0.9572155311708684,31.999692888622487,0.06553974002599716,0.9725156426429749
hybrid44,ema_field_refined_unet,train,8125,0.0814208984375,0.9914239482200647,0.9942610767125715,0.06470070034265518,0.01971191167831421,0.11499687284231186,0.8453525042403119,23.7818205793298,1.9902664422988892,0.017709970474243164,0.04313836991786957,0.9602146678312441,32.08357542913698,0.06273149698972702,0.9710392355918884
hybrid44,ema_field_refined_unet,train,8126,0.082275390625,0.9910267725801707,0.9939964175343976,0.06542012840509415,0.01917394995689392,0.10967061668634415,0.8451996332925773,23.685772115568348,1.991947889328003,0.017545700073242188,0.03737546503543854,0.9582913255997331,32.07624026909015,0.05691397935152054,0.9724023342132568
hybrid44,ema_field_refined_unet,train,8127,0.0823974609375,0.9911150338334804,0.9940477363659657,0.06417014449834824,0.019058987498283386,0.10813062638044357,0.8494733000389639,23.85333973071107,1.9252808094024658,0.01995229721069336,0.04068692401051521,0.9572275266685514,32.3719182744784,0.058086544275283813,0.9657807946205139
hybrid44,ema_field_refined_unet,train,8128,0.07891845703125,0.9919535157399235,0.9946190546456151,0.06449715793132782,0.01888817548751831,0.1085147112607956,0.8490158839184535,23.80918870469566,1.9756524562835693,0.0185396671295166,0.035653457045555115,0.9612752081374453,32.1475886043407,0.07955732941627502,0.970203161239624
hybrid44,ema_field_refined_unet,train,8129,0.0789794921875,0.9917769932333039,0.9944999262065234,0.06230844184756279,0.018718445673584938,0.10031118243932724,0.8554568821339672,24.109062337698447,1.7524206638336182,0.0161893367767334,0.032535895705223083,0.9621581505523072,33.189032454586965,0.04277052357792854,0.9746248126029968
hybrid44,ema_field_refined_unet,train,8131,0.075439453125,0.9926301853486319,0.9950741822257617,0.06284622848033905,0.018777996301651,0.10526937246322632,0.8560828665489301,24.034415819442184,1.4532008171081543,0.015897750854492188,0.02945196069777012,0.9669079527401664,34.815287175862586,0.05161866545677185,0.9770907163619995
hybrid44,ema_field_refined_unet,train,8132,0.08050537109375,0.99132097675787,0.9942002201950298,0.06452134996652603,0.01886637508869171,0.10208544880151749,0.8517402660432254,23.805931240490125,1.867716670036316,0.017070531845092773,0.03074628859758377,0.9614494340435651,32.63558002311038,0.04983949288725853,0.9737523198127747
hybrid44,ema_field_refined_unet,train,8133,0.079345703125,0.9916004707266843,0.9943834039916193,0.06341264396905899,0.017879679799079895,0.10375142842531204,0.8582715584670192,23.956482612482265,1.6699506044387817,0.017281532287597656,0.025480717420578003,0.9636519508016136,33.60772740229967,0.043902501463890076,0.9747679233551025
hybrid44,ema_field_refined_unet,train,8134,0.078369140625,0.9918064136510738,0.9945145310761171,0.06438980251550674,0.0181141197681427,0.09314928948879242,0.8566055894986069,23.823658344368216,1.7534434795379639,0.018003463745117188,0.029261279851198196,0.9653370701108012,33.183964390633356,0.04357623681426048,0.9728860855102539
hybrid44,ema_field_refined_unet,train,8135,0.0814208984375,0.9911150338334804,0.9940424524579815,0.06349803507328033,0.01805207133293152,0.10084658861160278,0.8612844691957814,23.94479379695605,1.7811847925186157,0.01703929901123047,0.03021477721631527,0.9639050367560458,33.04762006275814,0.04143451526761055,0.9762762784957886
hybrid44,ema_field_refined_unet,train,8136,0.08050537109375,0.9914386584289497,0.9942618263561611,0.06407540291547775,0.01815658062696457,0.1074385941028595,0.8574313629638103,23.86617349217915,1.6966311931610107,0.01653599739074707,0.030428895726799965,0.9663702287443205,33.47005109428128,0.042277656495571136,0.976699709892273
hybrid44,ema_field_refined_unet,train,8137,0.07781982421875,0.9920859076198882,0.9946905100268435,0.06245511397719383,0.017764434218406677,0.10413593053817749,0.8627137151749896,24.08864006418806,1.6354832649230957,0.016986846923828125,0.029378214851021767,0.9670808517123192,33.78887743526499,0.040097426623106,0.9756717085838318
hybrid44,ema_field_refined_unet,train,8138,0.081298828125,0.9911150338334804,0.9940279617947754,0.06307011097669601,0.018074631690979004,0.09869824349880219,0.860186220352936,24.00352809111481,1.6637020111083984,0.015609025955200195,0.03000214509665966,0.9647289449506995,33.6402886910134,0.03956722095608711,0.9774055480957031
hybrid44,ema_field_refined_unet,train,8139,0.07965087890625,0.9916887319799941,0.994411750160724,0.060568127781152725,0.01769547164440155,0.10579054057598114,0.8683161042425581,24.35511684015705,1.4157596826553345,0.014129638671875,0.027922578155994415,0.9687195190533505,35.04200897526232,0.043723128736019135,0.9800496101379395
hybrid44,ema_field_refined_unet,train,8141,0.08270263671875,0.9910414827890556,0.9939521534901735,0.062282536178827286,0.018263742327690125,0.1040775403380394,0.8645927957405244,24.112673989033976,1.3404808044433594,0.014251470565795898,0.031563106924295425,0.9672891296656719,35.5165876541087,0.03560970351099968,0.982650637626648
hybrid44,ema_field_refined_unet,train,8142,0.08502197265625,0.9904824948514269,0.9935689081059589,0.06501337885856628,0.018204927444458008,0.10592085123062134,0.8590647211250168,23.7399456349769,1.6011264324188232,0.015405654907226562,0.03291727229952812,0.9642648650403013,33.973287309847244,0.03577067330479622,0.9799414277076721
hybrid44,ema_field_refined_unet,train,8143,0.0821533203125,0.9909385113268608,0.9938622187680596,0.06356941908597946,0.01759183593094349,0.10384012758731842,0.8633255315417198,23.935035637953554,1.6053112745285034,0.01456594467163086,0.030437443405389786,0.9649607163556084,33.95061433305456,0.050602033734321594,0.9786772727966309
